gene	recessive	dominant	adult_onset
GAPDH	0	0	0
GPD1	1	0	0
GPD2	0	1	1
GART	0	0	0
SHMT2	0	0	0
CFB	1	1	0
GLYB	0	0	0
GLRA1	1	1	1
GLRB	0	0	0
PYGB	0	0	0
GYS1	1	0	0
GYS2	1	0	0
GYPE	0	0	0
ORM1	0	0	0
ORM2	0	0	0
A1BG	0	0	0
AHSG	0	0	0
APOH	0	0	0
GP1BB	1	1	0
GLO1	0	0	0
HAGH	0	1	0
GNRHR	1	1	0
GSC	1	1	0
GRN	1	1	1
CSF2	0	0	1
CXCL6	0	0	0
CSF3	0	1	0
CSF3R	0	1	0
CEBPG	0	0	0
CSF2RB	1	0	1
SLC25A16	0	0	0
CXCL2	0	0	0
CXCL3	0	0	0
GNB3	1	1	0
NR4A1	0	0	0
RASA1	0	1	0
GNAZ	0	0	0
GNAI2P1	0	0	0
GAS1	0	0	0
GHRH	0	1	0
GHRHR	1	0	0
GC	0	0	0
GH2	0	0	0
GH1	1	1	1
MT3	0	0	0
GSPT1	0	0	0
GDA	0	1	0
GMPR	0	0	0
GUK1	0	0	0
GUK2	0	0	0
GNAI1	0	0	0
GNAO1	0	1	0
GNAL	0	1	1
GNA11	0	1	0
GNA15	0	0	0
GNAS	1	1	1
GNAT1	1	1	0
GNAT2	1	0	0
KRT1	1	1	0
GNAI2	0	1	0
GNAI3	0	1	0
GNB1	0	1	0
GNB2	0	0	0
GNGT2	0	0	0
GUCA2A	0	0	0
GNAT3	0	1	0
GUCY1A1	1	0	0
GUCY1B1	0	0	0
HES1	0	1	0
GZMA	0	0	0
HP	0	0	0
HPR	0	0	0
HSPA1A	0	0	0
HSPA6	0	0	0
HSPA7	0	0	0
HSPA1L	0	0	0
HSPA2	0	0	0
HSP90AA1	0	1	0
HSP90AB1	0	0	0
HSP90AA2P	0	0	0
HSF1	0	1	0
HSF2	0	1	0
ST5	0	0	0
NCKAP1L	0	0	0
HMOX1	0	1	0
HMOX2	0	0	0
HBA1	0	1	0
HBA2	1	1	0
HBB	1	1	0
HBD	0	0	0
HBE1	0	0	0
HBG1	0	1	0
HIST1H1D	0	0	0
HIST1H1E	0	0	0
CD34	0	0	0
HBQ1	0	0	0
HBG2	0	1	0
HPX	0	0	0
HBZ	0	0	0
HPFH2	0	1	0
DIH1	1	1	0
SERPIND1	0	1	0
HCK	0	0	0
HLF	0	0	0
MST1	0	0	0
HGF	1	0	0
HNF1A	1	1	1
HPN	1	0	0
NRG1	0	1	0
SDC2	0	0	0
HSPG2	1	1	0
DDX39B	0	1	0
HK3	0	0	0
PRRC2A	0	0	0
BAG6	0	0	0
HK1	1	0	0
GPANK1	0	0	0
ABHD16A	0	0	0
HPCA	1	1	0
HRG	0	1	0
HDLBP	0	0	0
HTN1	0	0	0
HTN3	0	0	0
HRH2	0	0	0
HDC	1	1	0
HRC	0	0	0
H1F0	0	0	0
HIST1H1A	0	0	0
HIST1H1C	0	0	0
HIST1H1B	0	0	0
HIST1H1T	0	0	0
HIST2H2AA3	0	0	0
HIST2H4A	0	0	0
H2AFZ	0	0	0
RFX2	0	0	0
HIST2H3C	0	0	0
CD74	0	0	0
HLA-A	0	0	0
HARS	1	1	0
HLA-B	1	1	0
HLA-C	1	1	0
HLA-DMA	0	0	0
HLA-DMB	0	0	0
HLA-DRB1	1	1	1
HLA-DPB1	0	0	0
HLA-DRA	0	0	0
HLA-G	1	1	0
HLA-DPA1	0	0	0
HMGCR	0	0	0
HLA-DOA	0	0	0
HMGCS1	0	0	0
HOXA7	0	0	0
HOXA6	0	0	0
HOXA5	0	0	0
HOXA4	0	0	0
HOXA3	0	0	0
HOXA1	1	0	0
HOXA9	0	0	0
HOXA10	0	0	0
HOXA11	0	1	0
HOXA13	0	1	0
HOXB5	0	0	0
HOXB6	0	1	0
HOXB7	0	0	0
HOXB8	0	0	0
HOXB9	0	0	0
HOXB4	0	0	0
